Year,Date,Hour,DataRecorded,DataReviewed,Observer,Time,Behavior,Direction,Length,Frame,Range,Confidence,Comments,BcReview,Flag,BcCommentsQaqc,DateTime
2018,2018-04-06,03:00,Full,Second 30,AS,23:30:00,hold and up,upstream,63,6878,7.08,1,"moves up and held at 23:30 previous day, moves up here",NA,NA,NA,2018-04-06T03:00:00Z
2018,2018-04-09,10:00,Full,First 30,AS,11:30:00,downstream,downstream,74.4,126978,5.91,1,file ends at 11:49,NA,NA,NA,2018-04-09T10:00:00Z
2019,2019-03-20,15:30,Full,Second 30,AS,15:21:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-20T15:30:00Z
2019,2019-03-30,22:30,Full,Second 30,AS,22:23:31,NA,upstream,84.3,589,4.27,1,NA,NA,NA,NA,2019-03-30T22:30:00Z
2019,2019-04-01,22:00,Full,First 30,AS,21:48:11,NA,downstream,84.1,3218,11.37,3,"Animal, not a fish, beaver?",NA,NA,NA,2019-04-01T22:00:00Z
2019,2019-04-01,22:30,Full,Second 30,AS,21:52:40,NA,upstream,71.8,4008,11.64,1,NA,NA,NA,NA,2019-04-01T22:30:00Z
2019,2019-04-08,00:00,Full,First 30,AS,1:17:05,NA,upstream,87.4,2972,11.72,1,NA,NA,NA,NA,2019-04-08T00:00:00Z
2019,2019-04-12,19:00,Full,First 30,AS,18:24:34,NA,upstream,79.1,4267,10.65,1,NA,NA,NA,NA,2019-04-12T19:00:00Z
2019,2019-04-17,17:00,Full,First 30,JG,16:14:00,NA,upstream,70.3,2479,7.34,1,remeasured,NA,NA,NA,2019-04-17T17:00:00Z
2019,2019-04-26,22:00,Full,First 30,AS,23:15:53,NA,upstream,99.8,3256,4.62,2,uncertain,NA,NA,NA,2019-04-26T22:00:00Z
2019,2019-05-02,00:00,Full,First 30,AS,0:34:36,NA,holding,50.7,810,18.22,1,NA,NA,NA,NA,2019-05-02T00:00:00Z
2019,2019-05-20,05:30,Full,Second 30,AS,5:25:13,NA,upstream,66,4414,10.83,1,NA,NA,NA,NA,2019-05-20T05:30:00Z
2019,2019-06-30,00:00,Full,First 30,AS,23:54:39,NA,upstream,82,4185,11.02,1,NA,NA,NA,NA,2019-06-30T00:00:00Z
2019,2019-06-30,00:30,Full,Second 30,AS,23:59:18,NA,downstream,82.8,4982,12.86,1,NA,NA,NA,NA,2019-06-30T00:30:00Z
2019,2019-06-30,01:00,Full,First 30,AS,1:37:38,NA,downstream,95.3,1283,2.24,3,Alligator? Stick? Mammal?,NA,NA,NA,2019-06-30T01:00:00Z
2019,2019-07-01,00:00,Full,First 30,AS,1:19:35,NA,upstream,34.2,3327,14.07,1,NA,NA,NA,NA,2019-07-01T00:00:00Z
2019,2019-07-12,05:00,Full,First 30,AS,4:19:45,NA,upstream,61.2,3407,9.1,1,NA,NA,NA,NA,2019-07-12T05:00:00Z
2019,2019-07-12,06:00,Full,First 30,AS,4:19:46,NA,upstream,64.9,3409,10.35,1,NA,NA,NA,NA,2019-07-12T06:00:00Z
2019,2019-07-12,07:00,Full,First 30,AS,4:28:42,NA,upstream,64.9,4963,11.28,1,NA,NA,NA,NA,2019-07-12T07:00:00Z
2019,2019-07-12,08:00,Full,First 30,AS,4:29:49,NA,upstream,63.6,5160,9.25,1,NA,NA,NA,NA,2019-07-12T08:00:00Z
2019,2019-07-16,23:00,Full,First 30,JG,22:03:00,NA,upstream,75.7,689,9.69,1,NA,NA,NA,NA,2019-07-16T23:00:00Z
2020,2020-02-27,04:00,Full,First 30,BT,16:08:20,NA,upstream,72.1,1453,6.75,1,NA,NA,NA,NA,2020-02-27T04:00:00Z
2020,2020-02-27,22:00,Full,First 30,BT,10:13:10,NA,upstream,77.5,2239,9.65,1,NA,NA,NA,NA,2020-02-27T22:00:00Z
2020,2020-02-28,23:00,Full,First 30,BT,11:22:13,NA,downstream,80.9,3785,15.97,1,NA,NA,NA,NA,2020-02-28T23:00:00Z
2020,2020-03-04,23:30,Full,Second 30,AS,24:40:39,NA,downstream,82.2,1820,14.27,1,NA,NA,NA,NA,2020-03-04T23:30:00Z
2020,2020-03-05,00:00,Full,First 30,BT,12:10:29,NA,upstream,56,1798,18.06,1,NA,NA,NA,NA,2020-03-05T00:00:00Z
2020,2020-03-05,00:00,Full,First 30,BT,12:16:43,NA,upstream,77.5,2872,13.37,1,NA,NA,NA,NA,2020-03-05T00:00:00Z
2020,2020-03-06,21:00,Full,First 30,AS,20:15:22,NA,upstream,69,2884,6.17,1,NA,NA,NA,NA,2020-03-06T21:00:00Z
2020,2020-03-06,21:00,Full,First 30,AS,20:17:17,NA,downstream,51.1,2977,14.92,1,NA,NA,NA,NA,2020-03-06T21:00:00Z
2020,2020-03-06,21:00,Full,First 30,AS,20:17:14,NA,downstream,58.4,2968,15.31,1,NA,NA,NA,NA,2020-03-06T21:00:00Z
2020,2020-03-06,21:00,Full,First 30,AS,20:19:10,NA,upstream,58.3,3314,18.34,1,NA,NA,NA,NA,2020-03-06T21:00:00Z
2020,2020-03-06,21:00,Full,First 30,AS,20:19:14,NA,upstream,65.9,3323,18.6,1,NA,NA,NA,NA,2020-03-06T21:00:00Z
2020,2020-03-06,21:00,Full,First 30,AS,20:27:17,NA,downstream,57.6,4703,16.92,1,NA,NA,NA,NA,2020-03-06T21:00:00Z
2020,2020-03-06,21:00,Full,First 30,AS,20:27:22,NA,downstream,66.9,4720,16.52,1,NA,NA,NA,NA,2020-03-06T21:00:00Z
2020,2020-03-09,17:00,Full,First 30,BT,5:10:46,NA,upstream,77.7,1879,15.03,1,NA,NA,NA,NA,2020-03-09T17:00:00Z
2020,2020-03-16,17:30,Full,Second 30,BT,5:37:44,NA,upstream,70.1,1355,12.83,1,NA,NA,NA,NA,2020-03-16T17:30:00Z
2020,2020-03-16,17:30,Full,Second 30,BT,5:37:46,NA,upstream,69.7,1359,13.9,1,NA,NA,NA,NA,2020-03-16T17:30:00Z
2020,2020-03-17,23:30,Full,Second 30,BT,11:45:34,NA,upstream,61.5,2711,15.6,1,NA,NA,NA,NA,2020-03-17T23:30:00Z
2020,2020-03-17,23:30,Full,Second 30,BT,11:46:03,NA,upstream,55.7,2797,4.46,1,NA,NA,NA,NA,2020-03-17T23:30:00Z
2020,2020-03-20,00:00,Full,First 30,AS,1:05:29,NA,downstream,65.4,954,14.94,1,NA,NA,NA,NA,2020-03-20T00:00:00Z
2020,2020-03-20,00:00,Full,First 30,AS,1:07:51,NA,upstream,61.6,1374,5.55,1,NA,NA,NA,NA,2020-03-20T00:00:00Z
2020,2020-03-20,00:00,Full,First 30,AS,1:08:50,NA,upstream,68.7,1529,15.62,1,NA,NA,NA,NA,2020-03-20T00:00:00Z
2020,2020-03-20,06:30,Full,Second 30,AS,6:07:38,NA,downstream,66.5,1235,15.02,1,NA,NA,NA,NA,2020-03-20T06:30:00Z
2020,2020-03-25,03:00,Full,First 30,AS,4:22:26,NA,upstream,62.6,3968,6.68,1,NA,NA,NA,NA,2020-03-25T03:00:00Z
2020,2020-03-25,04:00,Full,First 30,AS,5:09:00,NA,upstream,61.9,1578,12.66,1,NA,NA,NA,NA,2020-03-25T04:00:00Z
2020,2020-04-16,19:00,Full,First 30,BT,21:19:29,NA,downstream,48.6,3340,13.96,1,NA,NA,NA,NA,2020-04-16T19:00:00Z
2020,2020-04-16,19:00,Full,First 30,BT,21:24:28,NA,downstream,51,4208,5.67,1,NA,NA,NA,NA,2020-04-16T19:00:00Z
2020,2020-04-16,19:00,Full,First 30,BT,21:25:01,NA,upstream,60.5,4303,6.98,1,NA,NA,NA,NA,2020-04-16T19:00:00Z
2020,2020-04-16,19:00,Full,First 30,BT,21:25:34,NA,downstream,73.5,4392,6.53,1,slow drift back DS tail-first,NA,NA,NA,2020-04-16T19:00:00Z
2020,2020-04-19,20:30,Full,Second 30,AS,20:29:33,NA,upstream,49.1,1624,13.17,1,NA,NA,NA,NA,2020-04-19T20:30:00Z
2020,2020-04-26,22:00,Full,First 30,BT,10:01:32,NA,upstream,64,269,13.42,1,NA,NA,NA,NA,2020-04-26T22:00:00Z
2020,2020-04-26,22:00,Full,First 30,BT,10:08:57,NA,upstream,67.5,1561,20.59,1,NA,NA,NA,NA,2020-04-26T22:00:00Z
2020,2020-04-26,22:00,Full,First 30,BT,10:18:40,NA,upstream,64.4,3257,8.3,1,NA,NA,NA,NA,2020-04-26T22:00:00Z
2020,2020-05-11,11:00,Full,First 30,AS,12:28:54,NA,upstream,66.6,5140,7.49,1,NA,NA,NA,NA,2020-05-11T11:00:00Z
