Year,Date ,Hour,DataRecorded,DataReviewed,Observer,Time,Behavior,Direction,Length,Frame,Range,Confidence,Comments
2018,2/28/2018,17:00,Full,Not reviewed,,,,,,,,,
2018,2/28/2018,17:30,Full,Not reviewed,,,,,,,,,
2018,2/28/2018,18:00,Full,Not reviewed,,,,,,,,,
2018,2/28/2018,18:30,Full,Not reviewed,,,,,,,,,
2018,2/28/2018,19:00,Full,Not reviewed,,,,,,,,,
2018,2/28/2018,19:30,Full,Not reviewed,,,,,,,,,
2018,2/28/2018,20:00,Full,Not reviewed,,,,,,,,,
2018,2/28/2018,20:30,Full,Not reviewed,,,,,,,,,
2018,2/28/2018,21:00,Full,Not reviewed,,,,,,,,,
2018,2/28/2018,21:30,Full,Not reviewed,,,,,,,,,
2018,2/28/2018,22:00,Full,Not reviewed,,,,,,,,,
2018,2/28/2018,22:30,Full,Not reviewed,,,,,,,,,
2018,2/28/2018,23:00,Full,Not reviewed,,,,,,,,,
2018,2/28/2018,23:30,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,0:00,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,0:30,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,1:00,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,1:30,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,2:00,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,2:30,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,3:00,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,3:30,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,4:00,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,4:30,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,5:00,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,5:30,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,6:00,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,6:30,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,7:00,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,7:30,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,8:00,Full,Not reviewed,,,,,,,,,
2018,3/1/2018,8:30,Full,Not reviewed,,,,,,,,,
