Year,Date ,Hour,DataRecorded,DataReviewed,Observer,Time,Direction,Length,Frame,Range,Confidence,Comments,BC review
2019,3/5/2019,0:00,Full,First 30,JG,no fish,,,,,,first full day of imagery after replaced lens fluid in SONAR unit. ,
2019,3/5/2019,1:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,2:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,3:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,4:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,5:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,6:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,7:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,8:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,9:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,10:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,11:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,12:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,13:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,14:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,15:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,16:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,17:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,18:00,Full,First 30,JG,18:04:00,upstream,88.5,737,10.54,1,remeasured ,"done, might be ~95cm"
2019,3/5/2019,18:00,Full,First 30,JG,18:13:45,upstream,79,2364,5.26,1,remeasured ,good
2019,3/5/2019,19:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,20:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,21:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,22:00,Full,First 30,JG,no fish,,,,,,,
2019,3/5/2019,23:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,0:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,1:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,2:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,3:00,Full,First 30,JG,3:23:10,upstream,88.9,3997,9.93,1,remeasured,good
2019,3/6/2019,4:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,5:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,6:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,7:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,8:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,9:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,10:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,11:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,12:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,13:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,14:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,15:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,16:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,17:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,18:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,19:00,Full,First 30,JG,19:23:20,upstream,82,5140,12.69,1,remeasured,good
2019,3/6/2019,20:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,21:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,22:00,Full,First 30,JG,no fish,,,,,,,
2019,3/6/2019,23:00,Full,First 30,JG,no fish,,,,,,,
2019,3/7/2019,0:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,1:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,2:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,3:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,4:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,5:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,6:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,7:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,8:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,9:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,10:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,11:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,12:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,13:00,Partial,First 30,Shared,no fish,,,,,,partial file- no 13:01 to 14:09,
2019,3/7/2019,14:00,Partial,First 30,Shared,no fish,,,,,,partial file- no 13:01 to 14:09,
2019,3/7/2019,15:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,16:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,17:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,18:00,Full,First 30,Shared,no fish,,,,,,,
2019,3/7/2019,19:00,Full,First 30,Shared,19:02:10,upstream,84.35,362,9.78,1,,
2019,3/7/2019,19:00,Full,First 30,Shared,19:04:29,upstream,77.25,761,9.42,1,,
