Year,Date ,Hour,Data Recorded,Data Reviewed,Observer,Time,Direction,Length,Frame,Range,Confidence,Comments/Notes,Flag
2020,2/13/2020,19:00,Full,First 30,AS,No Fish,,,,,,Recording begins here,
2020,2/13/2020,20:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/13/2020,21:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/13/2020,22:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/13/2020,23:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/14/2020,0:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/14/2020,1:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/14/2020,2:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/14/2020,3:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/14/2020,4:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/14/2020,5:00,Full,First 30,BT,5:14:56,downstream,51.8,2552,10.18,1,,
2020,2/14/2020,6:00,Full,First 30,BT,No Fish,,,,,,,
2020,2/14/2020,7:00,Full,First 30,BT,No Fish,,,,,,,
2020,2/14/2020,8:00,Full,First 30,BT,No Fish,,,,,,,
2020,2/14/2020,9:00,Full,First 30,BT,No fish,,,,,,3 sequential file fragments but no missing data; Recording stopped/started repeatedly,
2020,2/14/2020,10:00,Full,First 30,BT,No Fish,,,,,,,
2020,2/14/2020,11:00,Full,First 30,BT,No Fish,,,,,,,
2020,2/14/2020,12:00,Full,First 30,BT,No Fish,,,,,,,
2020,2/14/2020,13:00,Full,First 30,BT,No Fish,,,,,,,
2020,2/14/2020,14:00,Full,First 30,BT,No Fish,,,,,,3 sequential file fragments but no missing data; Recording stopped/started repeatedly,
2020,2/14/2020,15:00,Full,First 30,BT,No Fish,,,,,,8 sequential file fragments but no missing data; Recording stopped/started repeatedly,
2020,2/14/2020,16:00,Full,First 30,BT,No Fish,,,,,,5 sequential file fragments but no missing data; Recording stopped/started repeatedly,
2020,2/14/2020,17:00,Full,First 30,BT,No Fish,,,,,,,
2020,2/14/2020,18:00,Full,First 30,BT,No Fish,,,,,,Fish moves DS then immediately turns back up @18:17:30 = Not marked per protocol b/c no complete transit of sonar zone,
2020,2/14/2020,18:00,Full,First 30,BT,18:23:31,downstream,49.7,4098,13.48,1,,
2020,2/14/2020,19:00,Full,First 30,BT,19:12:00,upstream,60.0,2124,4.85,1,,
2020,2/14/2020,20:00,Full,First 30,BT,No Fish,,,,,,,
2020,2/14/2020,21:00,Full,First 30,BT,No Fish,,,,,,,
2020,2/14/2020,22:00,Full,First 30,BT,No Fish,,,,,,,
2020,2/14/2020,23:00,Full,First 30,BT,No Fish,,,,,,,
2020,2/15/2020,0:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,1:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,2:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,3:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,4:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,5:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,6:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,7:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,8:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,9:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,10:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,11:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,12:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,13:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,14:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,15:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,16:00,Full,First 30,AS,16:01:16,upstream,65.9,215,12.58,1,,
2020,2/15/2020,17:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,18:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,19:00,Full,First 30,AS,19:24:52,upstream,72.7,4309,6.16,1,,
2020,2/15/2020,20:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,21:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/15/2020,22:00,Full,First 30,AS,22:00:06,upstream,81.1,12,4.69,1,,
2020,2/15/2020,22:00,Full,First 30,AS,22:23:12,upstream,72.2,4043,17.78,1,,
2020,2/15/2020,23:00,Full,First 30,AS,No Fish,,,,,,,
2020,2/16/2020,0:00,Full,First 30,BT,No Fish,,,,,,,
2020,2/16/2020,1:00,Full,First 30,BT,No Fish,,,,,,,
2020,2/16/2020,2:00,Full,First 30,BT,No Fish,,,,,,,
