Year,Date ,Hour,DataRecorded,DataReviewed,Observer,Time,Frame,Direction,Range,Length,Confidence,Comments,BC comments QAQC
2023,2/13/2023,0:00,Full,First 30,AS,0:10:12,3132,upstream,5.99,41.5,1,,
2023,2/13/2023,0:30,Full,Second 30,AS,0:42:50,3941,upstream,4.65,70.8,1,,
2023,2/13/2023,0:30,Full,Second 30,AS,0:43:19,4091,upstream,3.78,66.9,1,,
2023,2/13/2023,0:30,Full,Second 30,AS,0:44:33,4458,downstream,8.23,66.7,1,,
2023,2/13/2023,0:30,Full,Second 30,AS,0:49:57,6053,upstream,10.35,69.6,1,,
2023,2/13/2023,1:00,Full,First 30,AS,1:01:23,421,upstream,15.33,72.3,1,,
2023,2/13/2023,1:00,Full,First 30,AS,1:06:09,1894,downstream,14.11,66.7,1,,
2023,2/13/2023,1:00,Full,First 30,AS,1:06:28,1988,downstream,9.95,71.1,1,,
2023,2/13/2023,1:00,Full,First 30,AS,1:07:56,2441,upstream,15.31,72.5,1,,
2023,2/13/2023,1:00,Full,First 30,AS,1:10:56,3367,downstream,16.52,81.3,1,,
2023,2/13/2023,1:00,Full,First 30,AS,1:13:50,4254,upstream,17.86,82.6,1,,
2023,2/13/2023,1:00,Full,First 30,AS,1:18:36,5690,downstream,5.97,56.8,1,,
2023,2/13/2023,1:00,Full,First 30,AS,1:23:10,7052,downstream,16.17,73.7,1,,
2023,2/13/2023,1:30,Full,Second 30,AS,1:59:21,8936,upstream,6.9,58.3,1,,
2023,2/13/2023,2:00,Full,First 30,AS,2:01:47,543,upstream,16.39,59.1,1,,
2023,2/13/2023,2:00,Full,First 30,AS,2:03:48,1168,upstream,14.21,75.4,1,,
2023,2/13/2023,2:30,Full,Second 30,AS,2:56:49,8177,downstream,16.21,71,1,,
2023,2/13/2023,3:00,Full,First 30,AS,No Fish,,,,,,,
2023,2/13/2023,3:30,Full,Second 30,AS,No Fish,,,,,,,
2023,2/13/2023,4:00,Full,First 30,AS,4:01:38,497,upstream,15.14,75.3,1,,
2023,2/13/2023,4:30,Full,Second 30,AS,No Fish,,,,,,,
2023,2/13/2023,5:00,Full,First 30,AS,5:02:23,723,upstream,9.39,65.1,1,,
2023,2/13/2023,5:00,Full,First 30,AS,5:08:57,2752,downstream,7.6,65.9,1,,
2023,2/13/2023,5:30,Full,Second 30,AS,5:59:24,8977,upstream,7.03,71.8,1,,
2023,2/13/2023,6:00,Full,First 30,AS,No Fish,,,,,,,
2023,2/13/2023,6:30,Full,Second 30,AS,6:36:29,1986,upstream,4.45,64.1,1,,
2023,2/13/2023,6:30,Full,Second 30,AS,6:38:49,2704,downstream,8.07,61.3,1,,
2023,2/13/2023,6:30,Full,Second 30,AS,6:53:01,7080,upstream,11.26,72.3,1,,
2023,2/13/2023,7:00,Full,First 30,AS,No Fish,,,,,,,
2023,2/13/2023,7:30,Full,Second 30,AS,No Fish,,,,,,,
2023,2/13/2023,8:00,Full,First 30,AS,8:11:10,3415,downstream,15.02,66.7,1,,
2023,2/13/2023,8:30,Full,Second 30,AS,No Fish,,,,,,,
2023,2/13/2023,9:00,Full,First 30,AS,No Fish,,,,,,,
2023,2/13/2023,9:30,Full,Second 30,AS,No Fish,,,,,,,
2023,2/13/2023,10:00,Full,First 30,AS,No Fish,,,,,,,
2023,2/13/2023,10:30,Full,Second 30,AS,No Fish,,,,,,,
2023,2/13/2023,11:00,Full,First 30,AS,No Fish,,,,,,,
2023,2/13/2023,11:30,Full,Second 30,AS,No Fish,,,,,,,
2023,2/13/2023,12:00,Full,First 30,AS,No Fish,,,,,,,
2023,2/13/2023,12:30,Full,Second 30,AS,No Fish,,,,,,,
2023,2/13/2023,13:00,Full,First 30,AS,No Fish,,,,,,,
2023,2/13/2023,13:30,Full,Second 30,AS,No Fish,,,,,,,
2023,2/13/2023,14:00,Full,First 30,AS,No Fish,,,,,,,
2023,2/13/2023,14:30,Full,Second 30,AS,No Fish,,,,,,,
2023,2/13/2023,15:00,Full,First 30,AS,No Fish,,,,,,,
2023,2/13/2023,15:30,Full,Second 30,AS,No Fish,,,,,,,
2023,2/13/2023,16:00,Full,First 30,AS,No Fish,,,,,,,
2023,2/13/2023,16:30,Full,Second 30,AS,No Fish,,,,,,,
2023,2/13/2023,17:00,Full,First 30,AS,No Fish,,,,,,,
2023,2/13/2023,17:30,Full,Second 30,AS,No Fish,,,,,,,
2023,2/13/2023,18:00,Full,First 30,AS,No Fish,,,,,,,
2023,2/13/2023,18:30,Full,Second 30,AS,18:31:28,438,downstream,15.78,70,1,,
2023,2/13/2023,18:30,Full,Second 30,AS,18:39:27,2899,upstream,10.25,69.2,1,,
2023,2/13/2023,19:00,Full,First 30,AS,19:04:09,1272,upstream,16.74,71.5,1,,
2023,2/13/2023,19:00,Full,First 30,AS,19:23:35,7175,downstream,10.98,73.9,1,,
2023,2/13/2023,19:30,Full,Second 30,AS,19:33:13,984,downstream,6.99,65.1,1,,
2023,2/13/2023,20:00,Full,First 30,AS,20:01:28,447,upstream,4.94,60.7,1,,
2023,2/13/2023,20:00,Full,First 30,AS,20:28:19,8649,upstream,3.98,68.4,1,,
2023,2/13/2023,20:30,Full,Second 30,AS,20:52:39,6883,upstream,6.89,75.8,1,,
2023,2/13/2023,21:00,Full,First 30,AS,21:40:06,3105,downstream,16.04,74.9,1,,
2023,2/13/2023,21:30,Full,Second 30,AS,21:47:45,5449,upstream,14.58,75.2,1,,
2023,2/13/2023,22:00,Full,First 30,AS,22:05:52,1800,upstream,5.02,58.4,1,,
2023,2/13/2023,22:30,Full,Second 30,AS,No Fish,,,,,,,
2023,2/13/2023,23:00,Full,First 30,AS,No Fish,,,,,,,
2023,2/13/2023,23:30,Full,Second 30,AS,23:53:15,7075,upstream,13.4,81.7,1,,
