Year,Date ,Hour,DataRecorded,DataReviewed,Observer,Time,Frame,Direction,Range,Length,Confidence,Comments,BC comments QAQC
2023,2/1/2023,11:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,12:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,12:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,13:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,13:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,14:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,14:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,15:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,15:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,16:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,16:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,17:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,17:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,18:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,18:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,19:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,19:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,20:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,20:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,21:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,21:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,22:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,22:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,23:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/1/2023,23:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,0:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,0:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,1:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,1:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,2:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,2:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,3:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,3:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,4:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,4:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,5:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,5:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,6:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,6:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,7:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,7:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,8:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,8:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,9:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,9:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,10:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,10:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,11:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,11:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,12:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,12:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,13:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,13:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,14:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,14:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,15:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,15:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,16:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,16:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,17:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,17:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,18:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,18:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,19:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,19:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,20:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,20:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,21:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,21:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,22:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
