Year,Date ,Hour,DataRecorded,DataReviewed,Observer,Time,Frame,Direction,Range,Length,Confidence,Comments
2024,1/24/2024,0:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,1:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,2:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,3:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,4:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,5:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,6:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,7:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,8:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,9:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,10:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,11:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,12:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,13:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,14:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,15:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,16:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,17:00,Full,First 30,BP,17:00:02,105,downstream,9.80,47.80,1,
2024,1/24/2024,18:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,19:00,Full,First 30,BP,19:19:30,5864,upstream,11.92,71.10,1,
2024,1/24/2024,20:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,21:00,Full,First 30,BP,21:12:31,3772,downstream,7.90,50.90,1,
2024,1/24/2024,21:00,Full,First 30,BP,21:22:05,6648,upstream,16.78,52.00,1,
2024,1/24/2024,22:00,Full,First 30,BP,No fish,,,,,,
2024,1/24/2024,23:00,Full,First 30,BP,No fish,,,,,,
2024,2/15/2024,0:00,Full,First 30,AS,No fish,,,,,,
2024,2/15/2024,0:30,Full,Second 30,AS,No fish,,,,,,
2024,2/15/2024,1:00,Full,First 30,AS,No fish,,,,,,
2024,2/15/2024,1:30,Full,Second 30,AS,No fish,,,,,,
2024,2/15/2024,2:00,Full,First 30,AS,No fish,,,,,,
2024,2/15/2024,2:30,Full,Second 30,AS,No fish,,,,,,
2024,2/15/2024,3:00,Full,First 30,AS,No fish,,,,,,
2024,2/15/2024,3:30,Full,Second 30,AS,No fish,,,,,,
2024,2/15/2024,4:00,Full,First 30,AS,No fish,,,,,,
2024,2/15/2024,4:30,Full,Second 30,AS,No fish,,,,,,
2024,2/15/2024,5:00,Full,First 30,AS,5:00:24,113,upstream,6.25,45.2,1,
2024,2/15/2024,5:30,Full,Second 30,AS,No fish,,,,,,
2024,2/15/2024,6:00,Full,First 30,AS,6:25:15,7616,downstream,10.98,47.8,1,
2024,2/15/2024,6:00,Full,First 30,AS,6:25:28,7681,downstream,8.15,55.8,1,
2024,2/15/2024,7:00,Full,First 30,AS,No fish,,,,,,
2024,2/15/2024,8:00,Full,First 30,AS,No fish,,,,,,
2024,2/15/2024,8:30,Full,Second 30,AS,No fish,,,,,,
2024,2/15/2024,9:00,Full,First 30,AS,No fish,,,,,,
2024,2/15/2024,10:00,Full,First 30,AS,No fish,,,,,,
2024,2/15/2024,10:30,Full,Second 30,AS,No fish,,,,,,
2024,2/15/2024,11:00,Full,First 30,AS,No fish,,,,,,
2024,2/15/2024,11:30,Full,Second 30,AS,No fish,,,,,,
2024,2/15/2024,12:00,Full,First 30,AS,No fish,,,,,,
2024,2/15/2024,12:30,Full,Second 30,AS,No fish,,,,,,
2024,2/15/2024,13:00,Full,First 30,AS,No fish,,,,,,
2024,2/15/2024,13:30,Full,Second 30,AS,No fish,,,,,,
2024,2/15/2024,14:00,Full,First 30,AS,14:16:20,4917,upstream,16.81,60.6,1,
2024,2/15/2024,14:30,Full,Second 30,AS,No fish,,,,,,
2024,2/15/2024,15:30,Full,Second 30,AS,No fish,,,,,,
2024,2/15/2024,17:00,Full,First 30,AS,No fish,,,,,,
2024,2/15/2024,17:30,Full,Second 30,AS,No fish,,,,,,
2024,2/15/2024,18:00,Full,First 30,AS,18:09:05,2720,upstream,16.22,45.2,1,
2024,2/15/2024,18:30,Full,Second 30,AS,18:30:20,95,upstream,9.02,55.3,1,
2024,2/15/2024,18:30,Full,Second 30,AS,18:50:36,6161,upstream,6.54,63.8,1,
2024,2/15/2024,19:00,Full,First 30,AS,19:12:36,3772,upstream,15.37,75.9,1,
2024,2/15/2024,19:00,Full,First 30,AS,19:26:51,8027,upstream,12.24,69.6,1,
2024,2/15/2024,19:30,Full,Second 30,AS,19:42:27,3714,upstream,13.98,45.4,1,
2024,2/15/2024,20:00,Full,First 30,AS,20:54:55,7397,downstream,14.7,65.3,1,
2024,2/15/2024,20:30,Full,Second 30,AS,No fish,,,,,,
2024,2/15/2024,21:00,Full,First 30,AS,21:13:53,,upstream,14.17,91.6,1,
2024,2/15/2024,21:30,Full,Second 30,AS,21:56:06,,upstream,14.32,81.7,1,
2024,2/15/2024,22:00,Full,First 30,AS,22:26:54,8048,downstream,6.36,64.6,1,
2024,2/15/2024,22:30,Full,Second 30,AS,22:34:15,1261,downstream,15.37,69.2,1,
2024,2/15/2024,0:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,0:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,1:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,1:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,2:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,2:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,3:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,3:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,4:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,4:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,5:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,5:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,6:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,6:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,7:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,7:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,8:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,8:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,9:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,9:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,10:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,10:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,11:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,11:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,12:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,12:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,13:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,13:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,14:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,14:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,15:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,15:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,16:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,16:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,17:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,17:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,18:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,18:30,Full,Second 30,JE,18:30:31,147,upstream,9.22,55.1,1,
2024,2/15/2024,18:30,Full,Second 30,JE,18:50:38,6171,upstream,6.84,58.1,1,
2024,2/15/2024,19:00,Full,First 30,JE,19:12:47,3827,upstream,13.99,68.8,1,
2024,2/15/2024,19:00,Full,First 30,JE,19:27:03,8085,upstream,14.08,65.6,1,
2024,2/15/2024,19:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,20:00,Full,First 30,JE,No fish,,,,,,
2024,2/15/2024,20:30,Full,Second 30,JE,No fish,,,,,,
2024,2/15/2024,21:00,Full,First 30,JE,21:13:57,4165,upstream,14.08,73.3,1,
2024,2/15/2024,21:30,Full,Second 30,JE,21:56:05,7787,upstream,14.27,63.2,1,
