Year,Date ,Hour,DataRecorded,DataReviewed,Observer,Time,Frame,Direction,Range,Length,Confidence,Comments
2024,12/29/2023,13:30,Full,Second 30,JB,13:46:06,4899,upstream,,51.3,1,recording starts for 2024 season
2024,12/29/2023,14:00,Full,First 30,JB,No fish,,,,,,
2024,12/29/2023,14:30,Full,Second 30,JB,No fish,,,,,,
2024,12/29/2023,15:00,Full,First 30,JB,No fish,,,,,,
2024,12/29/2023,15:30,Full,Second 30,JB,No fish,,,,,,
2024,12/29/2023,16:00,Full,First 30,JB,No fish,,,,,,
2024,12/29/2023,16:30,Full,Second 30,JB,No fish,,,,,,
2024,12/29/2023,17:00,Full,First 30,JB,No fish,,,,,,
2024,12/29/2023,17:30,Full,Second 30,JB,No fish,,,,,,
2024,12/29/2023,18:00,Full,First 30,JB,No fish,,,,,,
2024,12/29/2023,18:30,Full,Second 30,JB,No fish,,,,,,
2024,12/29/2023,19:00,Full,First 30,JB,No fish,,,,,,
2024,12/29/2023,19:30,Full,Second 30,JB,19:32:53,860,upstream,,74.4,1,"Not quite a full upstream movement on imagery, but assumed to be."
2024,12/29/2023,20:00,Full,First 30,JB,No fish,,,,,,
2024,12/29/2023,20:30,Full,Second 30,JB,No fish,,,,,,
2024,12/29/2023,21:00,Full,First 30,JB,No fish,,,,,,
2024,12/29/2023,21:30,Full,Second 30,JB,No fish,,,,,,
2024,12/29/2023,22:00,Full,First 30,JB,No fish,,,,,,
2024,12/29/2023,22:30,Full,Second 30,JB,No fish,,,,,,
2024,12/29/2023,23:00,Full,First 30,JB,No fish,,,,,,
2024,12/29/2023,23:30,Full,Second 30,JB,No fish,,,,,,
2024,12/30/2023,0:00,Full,First 30,JB,No fish,,,,,,
2024,12/30/2023,0:30,Full,Second 30,JB,No fish,,,,,,
2024,12/30/2023,1:00,Full,First 30,JB,No fish,,,,,,
2024,12/30/2023,1:30,Full,Second 30,JB,No fish,,,,,,
2024,12/30/2023,2:00,Full,First 30,JB,No fish,,,,,,
2024,12/30/2023,2:30,Full,Second 30,JB,No fish,,,,,,
2024,12/30/2023,3:00,Full,First 30,JB,No fish,,,,,,
2024,12/30/2023,3:30,Full,Second 30,JB,No fish,,,,,,
2024,12/30/2023,4:00,Full,First 30,JB,No fish,,,,,,
2024,12/30/2023,4:30,Full,Second 30,JB,No fish,,,,,,
2024,12/30/2023,5:00,Full,First 30,JB,No fish,,,,,,
2024,12/30/2023,5:30,Full,Second 30,JB,No fish,,,,,,
2024,12/30/2023,6:00,Full,First 30,JB,6:11:26,3410,upstream,,81.8,1,
2024,12/30/2023,6:30,Full,Second 30,JB,No fish,,,,,,
2024,12/30/2023,7:00,Full,First 30,JB,No fish,,,,,,
2024,12/30/2023,7:30,Full,Second 30,JB,No fish,,,,,,
2024,12/30/2023,8:00,Full,First 30,JB,No fish,,,,,,
2024,12/30/2023,8:30,Full,Second 30,JB,No fish,,,,,,
