date_time,year,date,hour,data_recorded,data_reviewed,observer,time,direction,length,frame,range,confidence,comments
2025-02-01T00:00:00Z,2025,2025-02-01,0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T00:00:00Z,2025,2025-02-01,0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T00:15:00Z,2025,2025-02-01,15M 0S,Full,15 min,as,0:17:13,downstream,68.1,700,14.2,1,NA
2025-02-01T00:15:00Z,2025,2025-02-01,15M 0S,Full,15 min,jw,0:16:53,downstream,74,595,11.1,1,NA
2025-02-01T00:30:00Z,2025,2025-02-01,30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T00:30:00Z,2025,2025-02-01,30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T00:45:00Z,2025,2025-02-01,45M 0S,Full,15 min,as,0:54:09,upstream,74.2,2881,12.87,1,NA
2025-02-01T00:45:00Z,2025,2025-02-01,45M 0S,Full,15 min,jw,0:54:20,upstream,74.4,2940,11.39,1,NA
2025-02-01T01:00:00Z,2025,2025-02-01,1H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T01:00:00Z,2025,2025-02-01,1H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T01:15:00Z,2025,2025-02-01,1H 15M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T01:15:00Z,2025,2025-02-01,1H 15M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T01:30:00Z,2025,2025-02-01,1H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T01:30:00Z,2025,2025-02-01,1H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T01:45:00Z,2025,2025-02-01,1H 45M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T01:45:00Z,2025,2025-02-01,1H 45M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T02:00:00Z,2025,2025-02-01,2H 0M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T02:00:00Z,2025,2025-02-01,2H 0M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T02:15:00Z,2025,2025-02-01,2H 15M 0S,Full,15 min,as,2:16:58,downstream,72,613,11.14,1,NA
2025-02-01T02:15:00Z,2025,2025-02-01,2H 15M 0S,Full,15 min,as,2:29:59,downstream,67.4,4730,11.97,1,NA
2025-02-01T02:15:00Z,2025,2025-02-01,2H 15M 0S,Full,15 min,jw,2:16:50,downstream,66.3,571,8.86,1,NA
2025-02-01T02:30:00Z,2025,2025-02-01,2H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T02:30:00Z,2025,2025-02-01,2H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T02:45:00Z,2025,2025-02-01,2H 45M 0S,Full,15 min,as,2:58:16,downstream,72.8,4194,13.34,1,NA
2025-02-01T02:45:00Z,2025,2025-02-01,2H 45M 0S,Full,15 min,jw,2:58:20,downstream,68,4214,13.7,1,NA
2025-02-01T03:00:00Z,2025,2025-02-01,3H 0M 0S,Full,15 min,as,3:09:09,upstream,72.9,2990,9.96,1,NA
2025-02-01T03:00:00Z,2025,2025-02-01,3H 0M 0S,Full,15 min,jw,3:09:31,upstream,72.2,3001,10.36,1,NA
2025-02-01T03:15:00Z,2025,2025-02-01,3H 15M 0S,Full,15 min,as,3:28:03,upstream,64,4130,7.74,1,NA
2025-02-01T03:15:00Z,2025,2025-02-01,3H 15M 0S,Full,15 min,jw,3:28:05,upstream,68.8,4139,8.49,1,NA
2025-02-01T03:30:00Z,2025,2025-02-01,3H 30M 0S,Full,15 min,as,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T03:30:00Z,2025,2025-02-01,3H 30M 0S,Full,15 min,jw,No Fish,NA,NA,NA,NA,NA,NA
2025-02-01T03:45:00Z,2025,2025-02-01,3H 45M 0S,Full,15 min,as,3:46:22,downstream,62.3,424,8.2,1,NA
2025-02-01T03:45:00Z,2025,2025-02-01,3H 45M 0S,Full,15 min,jw,3:46:23,downstream,54.8,426,7.89,1,NA
