Year,Date ,hour,Full or Partial ,Review Method,Observer,Time,Direction,Length,Frame,Range,Confidence,Flow cfs,Comments/Notes,Flag
2025,1/17/2025,14:00,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,15:00,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,16:00,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,16:15,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,16:30,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,16:45,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,17:00,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,17:15,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,17:30,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,17:45,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,18:00,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,18:15,Full,15 min,as,18:18:35,upstream,62.5,1109,14.75,1,220,,
2025,1/17/2025,18:30,Full,15 min,as,18:30:55,upstream,60.5,1225,6.85,1,220,,
2025,1/17/2025,18:30,Full,15 min,as,18:42:10,upstream,72.6,3824,10.4,1,220,,
2025,1/17/2025,18:45,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,19:00,Full,15 min,as,19:00:40,upstream,76,203,7.44,1,220,,
2025,1/17/2025,19:15,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,19:30,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,19:45,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,20:00,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,20:15,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,20:30,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,20:45,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,21:00,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,21:15,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,21:30,Full,15 min,as,No Fish,,,,,,220,,
2025,1/17/2025,21:45,Full,15 min,as,No Fish,,,,,,220,,
