year,time_period,estimate,se,2.5%,97.5%
2019,early,720,537.6,0,810
2019,late,189,8.1,175,206
2019,total,908,537,0,997
2020,early,1016,203,885,1711
2020,late,166,21,130,214
2020,total,1180,202.7,1048,1878
2021,early,583,20.9,556,637
2021,late,72,5.5,64,85
2021,total,656,20.9,627,709
2022,early,638,96.5,420,665
2022,late,157,8.8,142,177
2022,total,796,97.2,578,827
2023,early,941,51.2,885,1036
2023,late,31,2.7,27,38
2023,total,973,51.3,915,1069
2024,early,446,15.3,433,463
2024,late,67,8.1,56,88
2024,total,514,17.2,497,541
2025,early,393,4.3,385,402
2025,late,33,2.8,29,40
2025,total,427,5.2,417,437
